Sr. No,RERA ID,Developer Name,Project Name,Location,Town,Tie-up status,Create Date,Status
1,P52100008633,Suyog Builders,Suyog Space (Phase I),Wakad,Pune West,No,25/01/2019,Sold Out
2,P52100009974,Waghere Promotors,Rajveer Nucleus,Wakad,Pune West,No,28/01/2019,Inactive
3,P52100000905,Kasturi ,Kasturi Apostrophe,Moshi,Pimpri Chinchwad,Yes,29/01/2019,Sold Out
4,P52100006188,Kasturi ,Kasturi Voyage,Moshi,Pimpri Chinchwad,Yes,28/01/2019,Sold Out
5,P52100009270,Waghere Associate,Waghere Rajveer Imperia,Pimpri,Pimpri Chinchwad,No,29/01/2019,Active
6,P52100000897,Pristine Developers,Pristine Prolife (Phase III),Wakad,Pune West,No,28/01/2019,Sold Out
7,P52100017540,Aswani Paradise,Aswani's Galaxy,Wakad,Pune West,No,29/01/2019,Active
8,P52100004227,Mont Vert Luxury Homes,Mont Vert Sonnet,Tathawade,Pune West,No,30/01/2019,Sold Out
9,P52100002264,Sancheti Space,Sancheti Dreamcastle,Wakad,Pune West,No,30/01/2019,Sold Out
10,"P52100004943 , P52100004946 , P52100011411",Garve Buildicon,Garve Omega Paradise,Wakad,Pune West,No,29/01/2019,Sold Out
11,P52100015350,Five Star Construction Company,Five Star Royal Grande,Wakad,Pune West,No,30/01/2019,Sold Out
12,P52100010721,Paras Developer,Paras Vista,Wakad,Pune West,No,31/01/2019,Sold Out
13,"P52100017748,P52100022545",Jhamtani Group &Siddhivinayak Groups,Jhamtani Vision Ace,Tathawade,Pune West,Yes,31/01/2019,Sold Out
14,"P52100002401 , P52100019473",Nirvaan Homes ,Nirvaan Oneness,Hinjawadi,Pune West,Yes,1/2/2019,Sold Out
15,P52100015391,Legacy Lifespaces,Legacy Bliss,Hinjawadi,Pune West,Yes,1/2/2019,Inactive
16,P52100018583,Vitthal Developers,Vitthal Bhuvi 2,Wakad,Pune West,No,1/2/2019,Sold Out
17,P52100000526,Five Star Construction Company,Five Star Royal Entrada,Wakad,Pune West,Yes,4/2/2019,Sold Out
18,"P52100005050,P52100004083,P52100032001",Kohinoor & Sigma One,Kohinoor Courtyard One,Tathawade,Pune West,Yes,4/2/2019,Active
19,P52100017653,Rama Group,Rama Parkland,Moshi,Pimpri Chinchwad,Yes,4/2/2019,Sold Out
20,P52100013905,MAK DEVELOPERS,MAK Snehangan Residency,wakad,Pune West,No,4/2/2019,Sold Out
21,P52100001410,R.R.Lunkad,39 Avenue,Hinjawadi,Pune West,No,5/2/2019,Inactive
22,P52100016464,Sonigara Homes,Sonigara Twin Towers,Ravet,Pune West,Yes,5/2/2019,Sold Out
23,P52100018655,Arun Developers,Arun Aion,Ravet,Pune West,No,5/2/2019,Sold Out
24,"P52100016105 , P52100001288",Arun Developers,Saarrthi Savvy Homes (Phase II),Hinjawadi,Pune West,No,6/2/2019,Sold Out
25,P52100018086,Millennium Developers,Millennium Paramount,Moshi,Pimpri Chinchwad,No,6/2/2019,Sold Out
26,"P52100001257,P52100001239,P52100001103,P52100002728,P52100018079,P52100019366",Atul Enterprises,Atul Westernhills(Phase I and II),Sus,Pune West,No,6/2/2019,Active
27,"P52100010887, P52100001551",Prashant Developers,Prashant Bhagyoday Residency,Ravet,Pune West,No,6/2/2019,Sold Out
28,P52100014451,The Creations,The Creations Gururatna Heritage,Baner,Pune West,Yes,6/2/2019,Sold Out
29,P52100013048,Arun Developers,Arun Viva,Ravet,Pune West,Yes,7/2/2019,Sold Out
30,P52100016501(OC received),Kishor Developers,Kishor Platinum Towers,Wakad,Pune West,No,7/2/2019,Sold Out
31,P52100017967 (OC received),Tapashree Properties,Tapashree 45 Paramount,Baner,Pune West,No,7/2/2019,Sold Out
32,"P52100018779, P52100021609",Kumar properties and ABIL Group,Kumar Megapolis Saffron,Hinjawadi,Pune West,No,7/2/2019,Sold Out
33, P52100000887,Kumar properties and ABIL Group,Kumar Megapolis Symphony,Hinjawadi,Pune West,No,8/2/2019,Sold Out
34," P52100018284, P52100015188, P52100016848, P52100017386",Kumar properties and ABIL Group,Kumar Megapolis Springs,Hinjawadi,Pune West,No,11/2/2019,Sold Out
35,"P52100001391, P52100019959(OC received),P52100029121",Kumar properties and ABIL Group,Kumar Megapolis Mystic (Phase II),Hinjawadi,Pune West,No,11/2/2019,Sold Out
36,P52100016356,Paranjape Schemes,Paranjape Broadway,Wakad,Pune West,No,11/2/2019,Active
37,"P52100015697, P52100029377, P52100004511",Paranjape Schemes,Paranjape Trident Towers,Hinjawadi,Pune West,No,26/04/2019,Active
38,"P52100016328,P52100000054 ",Paranjape Schemes,Paranjape Blue Ridge,Hinjawadi,Pune West,No,11/2/2019,Active
39,P52100016218,Paranjape Schemes,Paranjape Azure,Tathawade,Pune West,No,29/04/2019,Sold Out
40,"P52100000926,P52100000676,P52100001392,P52100000869 ,P52100018194, P52100030004,P52100046423",Kalpataru,Kalpataru Jade Residences,Baner,Pune West,No,29/11/2022,Active
41,"P52100000298,P52100001266, P52100018100, P52100016932,P52100023268",Kalpataru,Kalpataru Exquisite,Wakad,Pune West,No,14/02/2019,Sold Out
42,"P52100002596, P52100008206",Kohinoor Group  and Welworth Realty,Kohinoor Group Tinsel County (Phase I and II),Hinjawadi,Pune West,No,13/02/2019,Sold Out
43,P52100015466,Pristine Developers,Pristine Equilife Homes ,Mahalunge,Pune West,No,13/02/2019,Sold Out
44,"P52100015821, P52100000088",Millennium Developers,Millennium Acropolis (phase II),Tathawade,Pune West,No,13/02/2019,Sold Out
45,"P52100016176, P52100004803, P52100022081",Saarrthi Group,Saarrthi Skybay (Phase II),Mahalunge,Pune West,No,13/02/2019,Sold Out
46,P52100018613,Arvind Smart Spaces Ltd,Arvind Elan,Kothrud,Pune Center,No,14/02/2019,Active
47,P52100013344,Swaraj Construction,Ranjan Heights,Ravet,Pune West,No,14/02/2019,Inactive
48,"P52100009617,P52100030441,P52100021999","Nisarg Shelters, Unicorn Promoters",Unicorn Nisarg Belrose,Wakad,Pune West,No,15/02/2019,Active
49, P52100011705,Nemichand Bhandari Associates,Bhumi Siddhi,Nigdi,Pimpri Chinchwad,No,15/02/2019,Inactive
50,"P52100001119,P52100017586,P52100022236","Kohinoor Group Pune, Saheel Properties, Fortune Group and amcorp realtors","Kohinoor ITrend Homes (phase-I ,II and III )",Hinjawadi,Pune West,No,15/02/2019,Sold Out
51,"P52100002877, P52100003047, P52100017090,P52100025451",Rama Group,Rama Melange Residences,Hinjawadi,Pune West,No,15/02/2019,Sold Out
