sepal_length,sepal_width,petal_length,petal_width,species_pred,probability
5.5,2.5,4.0,1.3,versicolor,0.9686388804553614
6.9,3.1,5.1,2.3,virginica,0.9676583611402335
5.1,2.5,3.0,1.1,versicolor,0.951676143076625
4.4,2.9,,0.2,setosa,0.49415269058799816
5.9,3.0,5.1,1.8,virginica,0.7712647021956226
5.5,3.5,1.3,0.2,setosa,0.9620938708930029
5.6,,3.6,1.3,versicolor,0.9517923589752586
6.5,3.0,5.2,2.0,virginica,0.9509906727915614
5.3,3.7,1.5,0.2,setosa,0.9666292225993188
5.1,3.4,1.5,,setosa,0.7776591502254253
6.1,2.8,4.0,1.3,versicolor,0.9794482169141164
5.5,2.4,3.7,1.0,versicolor,0.9796149946407801
7.7,3.0,6.1,2.3,virginica,0.9624267032054699
6.9,3.1,4.9,1.5,versicolor,0.7521125819976162
6.0,2.2,5.0,1.5,versicolor,0.5918327849310578
