Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type,Probability
0,68,16.0,66.0,overcast,984.94,0,Winter,2.0,mountain,Snowy,0.97021097
107,107,15.0,83.0,partly cloudy,1015.0,11,Summer,7.0,mountain,Sunny,0.62850314
19,76,12.5,35.0,partly cloudy,1017.26,4,Summer,8.0,inland,Cloudy,0.9653409
22,99,18.5,,partly cloudy,1012.7,0,,3.5,inland,Rainy,0.60383755
33,25,8.0,6.0,partly cloudy,1023.77,6,Spring,,inland,Sunny,0.810818
25,70,14.0,48.0,overcast,1009.35,4,Winter,5.5,,Cloudy,0.97465205
2,86,8.5,80.0,overcast,986.25,0,Winter,4.0,mountain,Snowy,0.94307536
-2,82,5.0,83.0,,991.11,1,Winter,4.0,,Snowy,0.9533861
-5,79,6.5,89.0,overcast,999.7,1,Winter,2.0,inland,Snowy,0.9710462
23,99,6.0,79.0,partly cloudy,1022.51,11,,8.5,mountain,Sunny,0.7289957
22,91,13.0,92.0,partly cloudy,1008.56,1,Spring,1.5,inland,Rainy,0.8580244
33,83,12.5,76.0,overcast,998.92,2,Spring,4.0,coastal,Rainy,0.91681343
-22,96,37.0,84.0,overcast,992.06,10,Winter,0.5,mountain,Snowy,0.6874891
20,53,8.0,19.0,partly cloudy,1014.95,2,Winter,8.0,inland,Cloudy,0.86590946
24,41,3.5,17.0,clear,1011.95,7,Summer,6.0,coastal,Sunny,0.873097
1,94,12.5,65.0,overcast,997.86,0,Winter,4.5,mountain,Snowy,0.92115736
32,79,2.5,17.0,overcast,1002.4,4,Summer,9.0,inland,Cloudy,0.865196
32,54,14.0,90.0,cloudy,840.45,8,Spring,3.5,coastal,Rainy,0.58671755
34,51,0.0,13.0,cloudy,895.82,12,Summer,2.0,mountain,Rainy,0.4658013
-6,85,17.0,59.0,overcast,987.18,1,Winter,2.5,inland,Snowy,0.9529476
20,78,9.5,56.0,partly cloudy,1002.33,1,Winter,3.0,inland,Rainy,0.89882725
13,66,13.5,58.0,overcast,1008.7,1,Autumn,1.5,coastal,Rainy,0.866943
13,76,1.5,26.0,overcast,1010.53,3,Autumn,6.5,inland,Cloudy,0.9651199
22,86,11.5,69.0,overcast,990.64,1,Summer,1.0,mountain,Rainy,0.8396274
11,35,11.5,89.0,partly cloudy,954.53,14,Autumn,18.5,inland,Sunny,0.40276894
-3,85,17.0,58.0,partly cloudy,991.2,1,Winter,5.0,mountain,Snowy,0.96920544
14,71,5.5,32.0,partly cloudy,1011.82,1,Winter,6.0,inland,Cloudy,0.9473563
36,76,22.5,91.0,partly cloudy,1009.65,11,Spring,4.0,coastal,Rainy,0.37659153
